iter	RMSE
0	0.1323305159
1	0.1295934591
2	0.1270501196
3	0.1245821871
4	0.121920488
5	0.1194692167
6	0.1170012697
7	0.1148252275
8	0.1124847344
9	0.1102883032
10	0.1082635241
11	0.106362165
12	0.1044155599
13	0.1025358494
14	0.1006868837
15	0.09883797765
16	0.09734177407
17	0.09569560054
18	0.09403610142
19	0.0924973213
20	0.09104816765
21	0.08965438058
22	0.08824786356
23	0.08707932027
24	0.08573419781
25	0.08452770289
26	0.08343735446
27	0.08244067602
28	0.08130815026
29	0.08034797569
30	0.07930796633
31	0.07829295998
32	0.07735044261
33	0.07643529669
34	0.07556851991
35	0.07470979247
36	0.07389493725
37	0.07318856025
38	0.07247773079
39	0.07178359635
40	0.07125018357
41	0.07060811456
42	0.06996632106
43	0.06930283746
44	0.06871181238
45	0.0681549987
46	0.06759023229
47	0.067072185
48	0.06662547444
49	0.06608949199
50	0.06559847359
51	0.06520023648
52	0.06479238909
53	0.06426691331
54	0.06384988562
55	0.06344469176
56	0.06300544725
57	0.06264339239
58	0.06230282162
59	0.06198213011
60	0.06165538949
61	0.06135659581
62	0.06094939146
63	0.06053814692
64	0.06029430274
65	0.06006551568
66	0.05982889408
67	0.05951037195
68	0.0592214225
69	0.05903282041
70	0.05879288789
71	0.05856099052
72	0.05833818604
73	0.05812353967
74	0.05791692024
75	0.05775717081
76	0.05760806094
77	0.05744748027
78	0.0572457069
79	0.05709254994
80	0.05690074765
81	0.05679276293
82	0.05669753603
83	0.05651208929
84	0.05638689783
85	0.05631048057
86	0.05618585751
87	0.05606361708
88	0.05595878605
89	0.05576918726
90	0.05563412199
91	0.05549841193
92	0.05537188999
93	0.05530952187
94	0.05517933826
95	0.05506559599
96	0.0549687938
97	0.05484476991
98	0.05470704809
99	0.05462548099
100	0.05449563284
101	0.05439629793
102	0.05429466489
103	0.05416965889
104	0.05405807756
105	0.05397682649
106	0.05391646183
107	0.05372966445
108	0.05360968804
109	0.0534303338
110	0.05334815337
111	0.05326214826
112	0.05318218844
113	0.05306321874
114	0.05293057571
115	0.05278347424
116	0.05267526975
117	0.05258434158
118	0.05251194612
119	0.05240824627
120	0.05227696821
121	0.05216287781
122	0.05203338249
123	0.05197348797
124	0.05190037396
125	0.05181715348
126	0.05166872278
127	0.05157001154
128	0.05148166914
129	0.05139657078
130	0.05133639835
131	0.05120516762
132	0.0511018246
133	0.05104442816
134	0.0509764214
135	0.05089171865
136	0.05081292152
137	0.05074625464
138	0.0506630342
139	0.05057439715
140	0.05050278226
141	0.05044483702
142	0.05035995392
143	0.05027412226
144	0.05011755298
145	0.05010494495
146	0.05002916889
147	0.04995504981
148	0.04993181362
149	0.04981262611
150	0.0497648449
151	0.04970329274
